row_index,sequence_id,key,dataset,seq_name,annotation_source,evaluation_mode,frame_count,ground_truth_frames,scored_frames,matched_prediction_frames,auc,norm_precision,accuracy_score,total_lost_frames,video_path,annotation_path,match_type,local_label,warning,error
217,dataset4__person4,dataset4/person4,dataset4,person4,local,scored,2743,2743,2743,2743,0.8002708192281653,0.9162890821658594,0.8466781244032429,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person4\person4_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV20L\person4.txt,matched,UAV20L/person4,,
218,dataset4__person5,dataset4/person5,dataset4,person5,local,scored,2101,2101,2101,2101,0.8619931551868723,0.9406858412094014,0.8934702295958838,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person5\person5_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV20L\person5.txt,matched,UAV20L/person5,,
219,dataset4__person7,dataset4/person7,dataset4,person7,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person7\person7_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\person7\annotation.txt,matched,UAV20L/person7,,
220,dataset4__uav1,dataset4/uav1,dataset4,uav1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\uav1\uav1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset4\uav1\annotation.txt,matched,UAV20L/uav1,,
221,dataset5__bike1,dataset5/bike1,dataset5,bike1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bike1\bike1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bike1\annotation.txt,matched,UAV20L/bike1,,
222,dataset5__bike2,dataset5/bike2,dataset5,bike2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bike2\bike2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bike2\annotation.txt,matched,UAV123/bike2,,
223,dataset5__bike3,dataset5/bike3,dataset5,bike3,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bike3\bike3_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bike3\annotation.txt,matched,UAV123/bike3,,
224,dataset5__bird1_1,dataset5/bird1_1,dataset5,bird1_1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bird1_1\bird1_1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bird1_1\annotation.txt,matched,UAV123/bird1_1,,
225,dataset5__bird1_2,dataset5/bird1_2,dataset5,bird1_2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bird1_2\bird1_2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bird1_2\annotation.txt,matched,UAV123/bird1_2,,
226,dataset5__bird1_3,dataset5/bird1_3,dataset5,bird1_3,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bird1_3\bird1_3_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\bird1_3\annotation.txt,matched,UAV123/bird1_3,,
