row_index,key,dataset,seq_name,annotation_source,evaluation_mode,frame_count,ground_truth_frames,scored_frames,matched_prediction_frames,sequence_id,auc,norm_precision,accuracy_score,total_lost_frames,video_path,annotation_path,match_type,local_label,warning,error
93,dataset3/basketball_player1_2-n,dataset3,basketball_player1_2-n,aic,unscored,0,0,0,0,dataset3__basketball_player1_2-n,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player1_2-n\basketball_player1_2-n_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player1_2-n\annotation.txt,matched,V4RFlight112/basketball player1_2-n,,
94,dataset3/basketball_player2,dataset3,basketball_player2,aic,unscored,0,0,0,0,dataset3__basketball_player2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player2\basketball_player2_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player2\annotation.txt,matched,V4RFlight112/basketball player2,,
95,dataset3/basketball_player2-n,dataset3,basketball_player2-n,aic,unscored,0,0,0,0,dataset3__basketball_player2-n,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player2-n\basketball_player2-n_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player2-n\annotation.txt,matched,V4RFlight112/basketball player2-n,,
96,dataset3/basketball_player3,dataset3,basketball_player3,aic,unscored,0,0,0,0,dataset3__basketball_player3,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player3\basketball_player3_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player3\annotation.txt,matched,V4RFlight112/basketball player3,,
97,dataset3/basketball_player3-n,dataset3,basketball_player3-n,aic,unscored,0,0,0,0,dataset3__basketball_player3-n,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player3-n\basketball_player3-n_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player3-n\annotation.txt,matched,V4RFlight112/basketball player3-n,,
98,dataset3/basketball_player4-n,dataset3,basketball_player4-n,aic,unscored,0,0,0,0,dataset3__basketball_player4-n,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player4-n\basketball_player4-n_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\basketball_player4-n\annotation.txt,matched,V4RFlight112/basketball player4-n,,
99,dataset3/bell_tower,dataset3,bell_tower,aic,unscored,0,0,0,0,dataset3__bell_tower,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bell_tower\bell_tower_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bell_tower\annotation.txt,matched,V4RFlight112/bell tower,,
100,dataset3/bike1,dataset3,bike1,local,scored,180,180,180,180,dataset3__bike1,0.891005291005291,0.9328042328042327,0.9077248677248677,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike1\bike1_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\bike1.txt,matched,V4RFlight112/bike1,,
101,dataset3/bike2,dataset3,bike2,aic,unscored,0,0,0,0,dataset3__bike2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike2\bike2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike2\annotation.txt,matched,V4RFlight112/bike2,,
102,dataset3/bike3,dataset3,bike3,aic,unscored,0,0,0,0,dataset3__bike3,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike3\bike3_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike3\annotation.txt,matched,V4RFlight112/bike3,,
103,dataset3/bike4_1,dataset3,bike4_1,aic,unscored,0,0,0,0,dataset3__bike4_1,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike4_1\bike4_1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike4_1\annotation.txt,matched,V4RFlight112/bike4_1,,
104,dataset3/bike4_2,dataset3,bike4_2,aic,unscored,0,0,0,0,dataset3__bike4_2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike4_2\bike4_2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike4_2\annotation.txt,matched,V4RFlight112/bike4_2,,
105,dataset3/bike5,dataset3,bike5,aic,unscored,0,0,0,0,dataset3__bike5,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike5\bike5_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike5\annotation.txt,matched,V4RFlight112/bike5,,
106,dataset3/bike6,dataset3,bike6,aic,unscored,0,0,0,0,dataset3__bike6,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike6\bike6_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike6\annotation.txt,matched,V4RFlight112/bike6,,
107,dataset3/bike7_1,dataset3,bike7_1,local,scored,301,301,301,301,dataset3__bike7_1,0.8761271950640719,0.9326056003796869,0.8987185571903178,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike7_1\bike7_1_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\bike7_1.txt,matched,V4RFlight112/bike7_1,,
108,dataset3/bike7_2,dataset3,bike7_2,local,scored,338,338,338,338,dataset3__bike7_2,0.833615102845872,0.9125105663567202,0.8651732882502112,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike7_2\bike7_2_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\bike7_2.txt,matched,V4RFlight112/bike7_2,,
109,dataset3/bike8,dataset3,bike8,aic,unscored,0,0,0,0,dataset3__bike8,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike8\bike8_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike8\annotation.txt,matched,V4RFlight112/bike8,,
110,dataset3/bike9_1,dataset3,bike9_1,local,scored,401,401,401,401,dataset3__bike9_1,0.85785536159601,0.9021493884336778,0.8755729723310771,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike9_1\bike9_1_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\bike9_1.txt,matched,V4RFlight112/bike9_1,,
111,dataset3/bike9_2,dataset3,bike9_2,aic,unscored,0,0,0,0,dataset3__bike9_2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike9_2\bike9_2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bike9_2\annotation.txt,matched,V4RFlight112/bike9_2,,
112,dataset3/building1_1,dataset3,building1_1,aic,unscored,0,0,0,0,dataset3__building1_1,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\building1_1\building1_1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\building1_1\annotation.txt,matched,V4RFlight112/building1_1,,
113,dataset3/building1_2,dataset3,building1_2,aic,unscored,0,0,0,0,dataset3__building1_2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\building1_2\building1_2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\building1_2\annotation.txt,matched,V4RFlight112/building1_2,,
114,dataset3/bus1-n,dataset3,bus1-n,local,scored,1092,1092,1092,1092,dataset3__bus1-n,0.6993720565149137,0.830237223094366,0.7517181231466947,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bus1-n\bus1-n_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\bus1-n.txt,matched,V4RFlight112/bus1-n,,
115,dataset3/bus2-n,dataset3,bus2-n,aic,unscored,0,0,0,0,dataset3__bus2-n,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bus2-n\bus2-n_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\bus2-n\annotation.txt,matched,V4RFlight112/bus2-n,,
116,dataset3/car1,dataset3,car1,aic,unscored,0,0,0,0,dataset3__car1,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car1\car1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car1\annotation.txt,matched,V4RFlight112/car1,,
117,dataset3/car1-n,dataset3,car1-n,aic,unscored,0,0,0,0,dataset3__car1-n,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car1-n\car1-n_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car1-n\annotation.txt,matched,V4RFlight112/car1-n,,
118,dataset3/car10,dataset3,car10,aic,unscored,0,0,0,0,dataset3__car10,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car10\car10_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car10\annotation.txt,matched,V4RFlight112/car10,,
119,dataset3/car11,dataset3,car11,aic,unscored,0,0,0,0,dataset3__car11,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car11\car11_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car11\annotation.txt,matched,V4RFlight112/car11,,
120,dataset3/car12,dataset3,car12,aic,unscored,0,0,0,0,dataset3__car12,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car12\car12_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car12\annotation.txt,matched,V4RFlight112/car12,,
121,dataset3/car13,dataset3,car13,aic,unscored,0,0,0,0,dataset3__car13,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car13\car13_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car13\annotation.txt,matched,V4RFlight112/car13,,
122,dataset3/car14,dataset3,car14,aic,unscored,0,0,0,0,dataset3__car14,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car14\car14_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car14\annotation.txt,matched,V4RFlight112/car14,,
123,dataset3/car15,dataset3,car15,aic,unscored,0,0,0,0,dataset3__car15,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car15\car15_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car15\annotation.txt,matched,V4RFlight112/car15,,
124,dataset3/car16_1,dataset3,car16_1,aic,unscored,0,0,0,0,dataset3__car16_1,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car16_1\car16_1_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car16_1\annotation.txt,matched,V4RFlight112/car16_1,,
125,dataset3/car16_2,dataset3,car16_2,aic,unscored,0,0,0,0,dataset3__car16_2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car16_2\car16_2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car16_2\annotation.txt,matched,V4RFlight112/car16_2,,
126,dataset3/car16_3,dataset3,car16_3,local,scored,168,168,168,168,dataset3__car16_3,0.2794784580498866,0.28373015873015867,0.2811791383219954,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car16_3\car16_3_24.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\car16_3.txt,matched,V4RFlight112/car16_3,,
127,dataset3/car17,dataset3,car17,aic,unscored,0,0,0,0,dataset3__car17,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car17\car17_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car17\annotation.txt,matched,V4RFlight112/car17,,
128,dataset3/car18,dataset3,car18,aic,unscored,0,0,0,0,dataset3__car18,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car18\car18_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car18\annotation.txt,matched,V4RFlight112/car18,,
129,dataset3/car2,dataset3,car2,aic,unscored,0,0,0,0,dataset3__car2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car2\car2_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car2\annotation.txt,matched,V4RFlight112/car2,,
130,dataset3/car2-n,dataset3,car2-n,aic,unscored,0,0,0,0,dataset3__car2-n,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car2-n\car2-n_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car2-n\annotation.txt,matched,V4RFlight112/car2-n,,
131,dataset3/car3,dataset3,car3,aic,unscored,0,0,0,0,dataset3__car3,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car3\car3_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car3\annotation.txt,matched,V4RFlight112/car3,,
132,dataset3/car4,dataset3,car4,local,scored,1302,1155,1155,1302,dataset3__car4,0.6162853019995878,0.7360544217687075,0.6641929499072357,269,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car4\car4_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\car4.txt,matched,V4RFlight112/car4,,
133,dataset3/car5,dataset3,car5,aic,unscored,0,0,0,0,dataset3__car5,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car5\car5_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car5\annotation.txt,matched,V4RFlight112/car5,,
134,dataset3/car6_1,dataset3,car6_1,aic,unscored,0,0,0,0,dataset3__car6_1,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car6_1\car6_1_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car6_1\annotation.txt,matched,V4RFlight112/car6_1,,
135,dataset3/car6_2,dataset3,car6_2,local,scored,1123,1103,1103,1123,dataset3__car6_2,0.7531839571730777,0.8555454820187366,0.7941285671113413,50,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car6_2\car6_2_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\car6_2.txt,matched,V4RFlight112/car6_2,,
136,dataset3/car7_1,dataset3,car7_1,local,scored,973,973,973,973,dataset3__car7_1,0.905789653991093,0.9485146576616259,0.9228796554593062,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car7_1\car7_1_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\car7_1.txt,matched,V4RFlight112/car7_1,,
137,dataset3/car7_2,dataset3,car7_2,local,scored,1968,1968,1968,1968,dataset3__car7_2,0.8977932636469221,0.944178281068525,0.9163472706155633,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car7_2\car7_2_24.mp4,C:\Users\yousif\Documents\AIC Data\our-data\V4RFlight112\anno\car7_2.txt,matched,V4RFlight112/car7_2,,
138,dataset3/car7_3,dataset3,car7_3,aic,unscored,0,0,0,0,dataset3__car7_3,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car7_3\car7_3_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car7_3\annotation.txt,matched,V4RFlight112/car7_3,,
139,dataset3/car8,dataset3,car8,aic,unscored,0,0,0,0,dataset3__car8,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car8\car8_24.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset3\car8\annotation.txt,matched,V4RFlight112/car8,,
